Actual_Communities  Detected_Communitie 
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
10 same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
10 same_comm
black same_comm
black same_comm
10 same_comm
black same_comm
10 same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
10 same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
10 same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
10 same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm
black same_comm

 ###Analysis###
same_positive: 198 same_negative: 0 diff_positive: 0 diff_negative: 7 total_cases: 205
Correctness Value is: 96.5853658536585%

